Circumstances,Target
final approach na khang airport crew failed realize altitude low airplane struck cm high earth bank located meter short runway threshold impact undercarriage torn aircraft belly landed four crew member uninjured aircraft damaged beyond repair,63
crew engaged aerial attack vit cong camp located xm rach tu extreme south coast south vietnam cruising low height airplane hit enemy fire left engine left wing caught fire crew elected evacuate area airplane went control crashed sea km offshore three crew member killed crew lt col emmet rucker maj james l shank sgt herbert e schmidt,4
shortly takeoff lafitte south louisiana amphibian aircraft went thunderstorm area encountered severe turbulence control lost airplane crashed bayou rigolettes pilot sole board killed aircraft owned j ray mcdermot,20
strategic bomber departed severomorsk airbase survey flight west europe cruising north sea crew made two first pass us essex third pas completed low height pilotincommand decided leave area control lost airplane crashed sea huge explosion killing six crew member debris found km west norwegian coast crew cpt andrey pliyev,13
completing cropspraying flight airstrip sovkhoz state farm udarna pratsya shevchenkovo district kharkov region inexperienced captain made sharp turn left low height control lost airplane crashed field located km northwest slobodovka pilot killed aircraft destroyed,16
less five minute night takeoff bombaysanta cruz airport climbing aircraft entered nosedown attitude plunged earth crashed huge explosion km north airport aircraft disintegrated impact occupant killed well one person ground house damaged people injured,22
unknown reason floatplane landed hard gdansk sank casualty,52
flying poor weather condition pilot lost control airplane dove ground crashed open field aircraft destroyed impact force post crash fire pilot sole board killed,18
final approach ueafk airfield airplane hit enemy fire stalled crashed flame short runway threshold occupant rescued aircraft destroyed,66
aircraft engaged cropspraying flight sovkhoz state farm novozolotovski semikarakorsk district rostov region one pilot local guide board height metre pilot probably got distracted passenger lost control airplane descended struck ground caught fire burnt passenger killed pilot injured,24
shortly takeoff initial climb one engine failed pilot lost control airplane crashed field located past runway end passenger seriously injured three occupant killed,23
positioning flight hartfordbrainard airport pilot encountered strong crosswind upon arrival touchdown control lost airplane lost undercarriage came rest runway shoulder pilot unhurt aircraft damaged beyond repair,54
aircraft completing flight texas region tampico behalf aerodyne engineering carrying two pilot eight passenger final approach crew decided make goaround unknown reason airplane stalled struck ground short runway threshold occupant escaped uninjured aircraft written,44
crashed unknown circumstance luanda airport casualty,52
unknown reason airplane landed hard causing undercarriage torn airplane slid several yard came rest casualty,44
crew departed yellowknife airport schedule flight sherrard bay melville island en route informed landing sherrard bay airstrip impossible due strong wind rerouted resolute bay final engine failed crew forced attempt emergency landing aircraft belly landed km south airfield slid several yard came rest broken two occupant rescued aircraft written,74
four engine aircraft christened clipper caribbean performing westward pan flight san francisco new york intermediate stop honolulu hong kong bangkok calcutta new delhi beirut istanbul frankfurt london following uneventful flight bangkokdon mueang airport crew started approach calcuttadum dum airport night marginal weather condition due low cloud foot rain shower crew deployed flap continued approach misunderstood atmospheric pressure value transmitted atc instead setting qnh value mb crew set qfe caused aircraft descent foot glide continued decision height struck tree top located meter short runway threshold impacted ground came rest flame one km short runway crew member five passenger killed others injured people unhurt aircraft destroyed,32
cruising night foggy condition pilot lost control airplane crashed sea groton sar operation conducted eventually suspended day later trace aircraft occupant found wreckage eventually localised november depth foot hundred yard offshore,78
airplane engaged demonstration tour within europe behalf italian manufacturer piaggio approach runway poor weather condition pilot decided make go around initiated turn right airplane struck slope mt jaizkibel located km west airport wreckage found meter summit six occupant killed among italian businessman lino zanussi crewpassengers lino zanussi alfio di vora giovanni battista talotti diego hurtado de mendoza sergio milich davide albertazzi,36
cruising marginal weather condition pilot encountered severe turbulence control lost twin engine aircraft entered dive crashed open field located mohrsville north reading aircraft totally destroyed six occupant killed,33
pilot sole board completing fire fighting mission region show low cruising low height right engine lost power pilot shot engine feathered propeller started drop retardant load left engine caught fire attempted emergency landing airplane struck tree crashed aircraft destroyed pilot seriously injured,25
shortly takeoff katum airfield airplane hit enemy fire pilot decided divert ty ninh airfield emergency landing engine number one caught fire shot propeller feathered upon landing left wing fire left main gear still retracted airplane came rest later destroyed fire five crew member escaped uninjured,70
touchdown airbase located somewhere south vietnam airplane went control veered runway collided parked helicopter casualty aircraft destroyed,65
crew started approach bod airport limited visibility twin engine aircraft struck slope mountain located fuglya island km southwest runway threshold aircraft destroyed crew member killed controlled flight terrain suspected,37
shortly takeoff helsinkimalmi airport initial climb airplane stalled crashed huge explosion crew member killed,23
cruising altitude foot executive flight dallas kansa city crew encountered icing condition engine failed almost simultaneously crew declared emergency started rapid descent cleared divert fayettevilledrake airport final airplane stalled crashed field short runway passenger killed seven occupant injured seriously,29
pilot made unauthorized leg breusovka kozelshchina district poltava region olkhovatka cropspraying operation olkhovatka unauthorized passenger board aircraft suffered engine problem shortly takeoff fuel contaminated water heavily intoxicated pilot attempted emergency landing field aircraft came hard broke pilot passenger killed second passenger seriously injured,24
airplane completing humanitarian flight uli carrying load ton medicine final approach pilotincommand encountered poor weather condition airplane struck ground crashed flame four occupant killed aircraft destroyed post crash fire,32
crew completing cargo flight norfolk philadelphia behalf u air force touchdown wet runway philadelphiaintl airport crew encountered difficulty decelerate properly four engine aircraft suffered hydroplaning went control veered runway right contacting soft ground undercarriage collapsed right wing torn airplane came rest flame destroyed post crash fire three crew member escaped uninjured,53
airplane completing cargo flight deauville londonheathrow airport carrying five passenger crew three eight race horse final approach runway r last segment left wing dropped causing left wing tip struck ground control lost airplane veered runway left crossed apron struck two parked bea trident smashing flame onto hangar six occupant killed two others killed well eight horse trident registered garpt also destroyed trident registered garpi repaired,29
parked apron heathrow airport three engine airplane struck bk air transport airspeed ambassador crashed landing aircraft empty injury irreparable,71
approaching dhahran airport crew encountered poor weather condition sandstorm unable locate runway pilot initiated goaround followed holding pattern second attempt land made minute later crew forced make goaround due poor visibility third approach aircraft low struck sand dune located km short runway crashed occupant killed,32
cruising along east coast florida pilot encountered serious vibration one engine forced shut feather propeller decided divert nearest airport unable eventually ditched aircraft offshore occupant rescued aircraft sank lost,74
completing regional executive flight one engine failed flight pilot decided divert colusa county approach position wrong decided make goaround airplane struck power cable stalled crashed field four occupant injured aircraft damaged beyond repair,63
flight sn nonscheduled international cargo flight brussels direct lagos behalf federal government nigeria kg cargo board passenger carried flight plan filed flight hour minute total endurance aircraft stated hour minute designated alternate kano aircraft took brussels hour gmt july routine radio report received en route phase flight hour rt contact made lagos approach control rt transmission aircraft identified almost certainly voice copilot indicating rt rhile pilotincommand flying aircraft aircraft gave eta lagos hour reported flight level fl request made latest lagos weather reply included following information wind kt visibility km cloud stratocumulus altostratus temporary thunderstorm cumulonimbus ft qnh mb temperature hour aircraft reported eta overhead ibadan ndb hour response request information lagos one minute later reported ibadan ndb appear operating aircraft requested descent clearance cleared lagos fl commenced descent fl time three minute later aircraft reported passing ibadan descending fl since reported earlier ibadan ndb seemed radiating known position determined reply lagos approach stated delay approach runway use hour aircraft mile north lagos recleared ft qnh mb told report field sight flight recorder readout show shortly interchange descent interrupted speed decreased figure corresponding recommended maximum landing gear extension speed exceeded remainder flight close study flight recording show subsequent irregularity indicating automatic pilot probably disengaged stage flight subsequent speed reduction rate descent reestablished approximately ftmin hour aircraft passed one mile east lagos airport whilst southerly heading altitude ft aircraft heard flying airport time flight recorder indicates procedure turn made south airport vicinity city lagos conclusion second interruption descent following airspeed remained maximum flap hour aircraft passed airport northbound altitude ft maintaining average rate descent ftmin minute hour procedure turn commenced altitude ft rate descent reduced ftmin track aircraft passage airport northbound commencement final procedure turn almost coincident outbound track published vor approach procedure hour lagos approach control informed aircraft procedure turn requested give wind condition reply control stated wind calm acknowledged shortly afterwards approach control instructed aircraft report runway sight also acknowledged completion procedure turn altitude ft height airport ft airspeed reduced kt little less kt rate descent reduced ftmin heading stabilized hour aircraft asked runway light put maximum brightness approach control replied runway light low intensity nonvariable transmitter switch heard subsequent message aircraft crashed mile north airport approximately extended centre line runway occupant killed aircraft caught fire immediately burnt seven occupant killed,9
minute takeoff iquique airport climbing airplane went control crashed sea km offshore crew member killed,21
touchdown hamburgfuhlsbttel airport airplane went control came rest upside pilot uninjured aircraft damaged beyond repair,54
cargo flight paulo recife airplane crashed unknown circumstance coelhos mountain range near gravat three crew member killed,41
crashed unknown circumstance magellan strait killing five occupant,47
cruising vfr mode pilot lost control airplane entered dive crashed near paris texas pilot sole board killed,18
cruising altitude pilot informed atc engine problem forced shut right engine feather propeller cleared divert nearest airport second later airplane stalled crashed prairie located delta pilot uninjured airplane damaged beyond repair,64
cruising night crew encountered poor visibility due fog ant insufficient altitude twin engine aircraft struck slope mountain located near beverly aircraft destroyed upon impact pilot killed,37
leg darautkurgan osh flight dzhargital osh crew encountered belowminima weather condition thunderstorm rain failed return lost orientation deviated prescribed flight path west km single engine aircraft crashed height metre steep slope mountain metre located km southwest sufikurgan wreckage found two day later occupant killed,37
crew engaged fire fighting mission near mcgrath flying low height airplane stuck slope mountain crashed killing four occupant,38
engaged dropping mission airplane flying low height reduced speed stalled struck tree crashed wooded area two crew member killed two others injured killed cpt kenneth james hoffman ac gary raymond mckendrick,24
crew started descent recifeguararapes airport night altitude foot four engine aircraft struck slope mountain located km northwest recife wreckage found hour later crew member killed,37
crew departed castle afb training mission completing simulated emergency descent fl fl pilotincommand initiated sharp turn control lost airplane crashed mt lassen totally destroyed nine crew member killed,19
flying altitude foot pilot encountered atmospheric turbulence airplane initiated uncontrolled descent struck water surface carlisle island pilot rescued airplane sank lost,74
flight az montreal canada departed romefiumicino airport italy intermediate stop planned milanmalpensa airport airplane climbed vmc en route altitude fl en route part flight uneventful descending south airport preparing approach runway aircraft entered imc heavy turbulence due presence thunderstorm area flight cleared foot foot straightin approach three minute later pilot advised would make turn beacon aircraft foot completion turn altitude foot flight continued runway heading descending flight crew became unsure position almost immediately airplane struck wooded hillside km north milan runway passenger killed others injured people uninjured aircraft destroyed impact force post crash fire,10
approaching psebai flight krasnodar crew encountered belowminima weather condition low visibility due rain fall decided return late height metre airplane struck tree top crashed wooded slope skalisty khrebet mountain range metre high located km northeast psebai wreckage found august occupant killed,37
shortly takeoff brisco initial climb pilot initiated turn control lost airplane stalled crashed field pilot killed three passenger injured time accident weather condition good high oat airplane carrying boat equipment total weight within limit airplane owned jim lougheed,23
crew engaged fire fighting mission jarvis lake behalf bc forest service flying low height airplane struck tree crashed pilot thomas swanson tom worley killed,13
final approach mirny airport crew lowered undercarriage left main gear detached fell away captain decided attempt emergency landing wasteland touchdown aircraft banked left causing left wing tip struck ground torn well part engine number one aircraft slid several yard coming rest occupant escaped uninjured aircraft written,56
cruising altitude foot south ingolstadt pilot informed atc fire erupted board declared emergency requested permission divert munich airport crew immediately started emergency descent control lost airplane entered dive partially disintegrated air eventually crashed flame highway debris found open field main wreckage munich nuremberg highway tail found three km main wreckage rescue team hampered mission really difficult reach crash site highway totally jammed car people living holiday none occupant survived crash time accident weather condition considered good despite broken cloud foot till foot,71
shortly takeoff wilmingtonclinton county airport airplane stalled crashed flame field engaged flight otis afb carrying military personnel civilian six member tag killed killed tsgt william b hansford iii sgt ernest l arehart sgt richard n hall sgt david husinga ac paul l ruschau ac michael l wiford,1
flight scheduled domestic flight louisville kentucky roanoke virginia enroute stop cincinnati ohio charleston kanawha county airport west virginia flight cincinnati routine hour eastern daylight time flight departed cincinnati ifr clearance charleston via victor airway south york thence victor charleston maintain ft hour flight contacted charleston tower request latest weather information provided sky partially obscured visibility mile fog smoke runway visibility less mile shortly thereafter cleared indianapolis artcc milton intersection mile westnorthwest charleston vortac victor descend maintain ft approximately hour flight contacted charleston approach control reported leaving ft controller advised flight radar contact established instructed flight take heading vector holding pattern il outer marker latest weather also given time sky partially obscured visibility mile fog smoke runway visibility runway zero altimeter setting flight provided holding instruction followed upon arrival outer marker compass locator lom given expected approach time hour subject weather condition hour prior reaching lom flight instructed turn right heading cleared descend ft advised runway visibility runway improved seveneighths mile hour flight advised seven mile northeast outer locator instructed turn right heading cleared il approach flight acknowledged clearance shortly thereafter advised approach controller glide path service hour flight advised mile lom instructed contact charleston tower mhz hour radio contact flight established tower local controller cleared flight land time landing check completed crew descent established fairly constant rate descent approximately ftmin hour flight reported passing outer marker inbound requested wind given kt hour flight asked tower approach light high intensity runway light turned way controller replied affirmative adding little fog right end wide open get mile half runway last known radio communication flight hour pilotincommand mentioned copilot going hold present altitude approximately ft amsl ft elevation runway threshold hour copilot informed pilotincommand light sight low asked could see pilotincommand replied sight requested landing flap copilot commented got get chart right likely lose hour copilot asked pilotincommand saw light pilotincommand replied affirmative shortly thereafter reduced power sec later increased sec later copilot commented watch sec later aircraft crashed controller observed column smoke rising near approach end runway immediately activated crash siren called dispatch airport emergency equipment aircraft struck steep hillside ft short runway threshold elevation ft amsl approximately ft elevation threshold aircraft careened side hill airport coming rest right side runway accident occurred hour daylight two passenger seriously injured occupant killed,9
takeoff lake located winisk single engine airplane encountered difficulty gain height shore approaching pilot elected turn airplane struck ground came rest upside injury aircraft damaged beyond repair,64
single engine airplane engaged aerial topdressing operation farm near taumarunui rd sortie day aircraft failed return airstrip expected search found crashed burning fletcher midway sowing area airstrip aircraft destroyed impact force fire largely confined engine bay cockpit pilot robert neville scott dead evidence showed pilot made degree turn back towards airstrip commenced jettisoning hundredweight pound kg superphosphate hopper load aircraft collided terrain degree rising grassy slope low forward speed high rate descent hundredweight load still hopper fuel tank ruptured crash absence avtur odour ground around lh tank engine producing high rotational energy time impact evidence mechanical failure prior impact autopsy pilot produced evidence fire begun air,5
cruising altitude mediterranean sea flight cairo damascus aircraft went control crashed unknown circumstance sea sar operation conducted several debris found km south cyprus coast none occupant found alive main wreckage recovered,51
shortly takeoff maturnquiriquire airport climbing night one engine failed crew feathered propeller elected return emergency landing airplane struck obstacle crashed four occupant killed three others injured,20
shortly takeoff airplane encountered difficulty gain height stalled crashed flame four occupant killed,22
takeoff roll painesvillecasement airport airplane swerved went control veered runway struck embankment came rest flame occupant escaped uninjured aircraft destroyed,53
airlift flight near cambodian border aircraft hit enemy fire starboard wing airplane went control crashed flame killing three crew member crew cpt robert george bull st lt ralph william manner ac david frederick sleeper,4
suffered accident trabzon airport casualty,65
minute takeoff mccoy afb orlando crew encountered technical problem flap electrical system failed due subsequent fuel starvation crew decided abandon aircraft bailed aircraft dove ground crashed huge explosion near cape canaveral seven occupant uninjured,73
en route weather condition worsened visibility poor due heavy rain fall cruising insufficient altitude single engine aircraft struck slope mountain located near odda airplane disintegrated impact five occupant killed leased ocean product westwing,37
making turn marginal weather condition single engine aircraft went control crashed slope mountain located mackenzie mountain range wreckage found km southwest fort norman four occupant killed,37
four engine aircraft completing charter flight berlin burgas intermediate stop sofia carrying eastgerman tourist flying holiday burgas shore black sea descending burgas crew encountered poor weather condition low cloud rain fall thunderstorm activity final four engine aircraft low struck obstacle crashed flame hundred meter short runway threshold five crew member passenger killed occupant injured aircraft totally destroyed,32
approach uzuakoli pilot lowered landing gear apparently failed lock belly landing completed casualty aircraft written,65
crashed unknown circumstance sea hundred meter bod occupant rescued aircraft sank lost,42
cruising along shore pilot experience double engine failure unable maintain safe altitude attempted ditch aircraft hundred yard marco island pilot quickly rescued airplane sank lost,74
aircraft airlift flight tuy hoa damaged fire mile south tan phat airfield near city bueao luedc mile southwest cam ranh bay pilot tried land aircraft crashed could set however one source claim aircraft lost enemy action crashed hill bad weather crew cpt david horace risher cpt leonard selaniko maj eugene winfield hartman tsgt ralph james lund sgt jesus ochoa source chris hobson,77
single engine airplane departed lourdesdeblancsablon airport lt trip sainteaugustine saintpaul river back lourdesdeblancsablon seven passenger embarked saintpaul river airstrip last leg weather condition deteriorated fog cloud foot unknown circumstance control lost airplane crashed uninhabited area located near bradore bay airplane failed return base sar operation conducted three day later three dead body debris found week later operation suspended trace main wreckage rest occupant found,51
crew engaged cargo flight aircraft carrying load cement bag en route right engine failed crew decided divert golovin airport emergency landing final pilotincommand decided make goaround airplane stalled crashed lagoon located short runway came rest three foot water pilot uninjured aircraft damaged beyond repair abandoned,59
following uneventful flight ajaccio crew started descent nicecte dazur airport pilot sent brief mayday message saying fire board request urgent landing second later airplane went dive crashed mediterranean sea km antibes debris found water surface none occupant survived crash,71
touchdown vinh long airstrip crew encountered technical problem airplane went control veered runway came rest three crew member escaped uninjured aircraft written,53
final approach hollywoodburbank airport positioning flight santa monica airplane adopted nosedown attitude struck power cable hit house crashed wasteland located mile short runway pilot one people ground killed aircraft destroyed well several car house also damaged,28
crew engaged local training flight paulocongonhas airport completing touchandgo manoeuvre takeoff initial climb airplane went control crashed district located meter airport aircraft totally destroyed pilot killed well one people ground time accident crew climbing one engine inoperative maybe two,23
liftoff twin engine airplane encountered difficulty gain height nosed struck runway surface propeller control veered runway came rest flame passenger slightly injured pilot seriously injured aircraft destroyed,30
shortly takeoff franklinchess lamberton field airport climbing pilot informed ground technical problem left engine decided return emergency landing completed turn final airplane lost height struck tree crashed pilot seriously injured aircraft destroyed,20
crashed unknown circumstance shortly takeoff managualas mercedes airport crew member killed second one injured,41
registered fxcvx aircraft engaged demo flight annual farnborough airshow carrying five officer flottille f based nmesgarons naval air station france following several circuit crew decided make new low pas front spectator left engine shut propeller feathered final altitude foot speed knot flap aircraft stalled crashed huge explosion parking located hundred yard short runway upon impact empennage torn crashed roof staff mess british air force aeronautical research center five crew member killed well one man ground crew cpt jeanyves saintmleux oe g durand ev c lemaire qm r bequier smaj goasguen,29
shortly takeoff initial climb airplane banked right crashed huge explosion aircraft destroyed pilot killed conducting local training flight richmondcuyahoga county airport,23
single engine airplane departed salondeprovence airbase training mission alp pilot five skydiver board cruising altitude meter airplane went control dove ground crashed flame near moissire pas aircraft destroyed six occupant killed crew cpt jean salette passenger ssgt jean bousquet cpt yves charpentier cpt bernard pergeline cpt bernard billiet cpt max bonnaud,16
flight zyryanka seymchan support st geodetic expedition crew encountered belowminima weather condition due low cloud crew failed return deviated prescribed flight path km descended cloud mountainous terrain condition aircraft crashed height metre steep slope mount khapchagai metre high located km northwest seymchan one pilot passenger killed survivor seriously injured wreckage survivor found day later sep,69
en route andersen afb guam island hickam honolulu crew reported engine problem captain decided divert wake island airport short final aircraft low struck approach light impact empennage torn aircraft crashed flame eleven passenger killed occupant rescued aircraft destroyed,74
crew completing night mail flight charlottedouglas airport short final engine stopped simultaneously aircraft stalled crashed mile short runway destroyed upon impact crew member killed,29
shortly takeoff teterboro airport climbing airplane stalled crashed near runway end airplane destroyed pilot injured,67
crew performing cargo flight cherry point mcas behalf u air force final approach night visibility limited due foggy condition crew continued approach glide airplane struck tree crashed flame three crew member injured aircraft destroyed,69
crew completing local training flight stockton airport california following several uneventful circuit crew initiated new approach final crew failed realize altitude low right main gear struck blast pad located foot short runway threshold torn airplane partially belly landed slid dozen yard coming rest occupant escaped uninjured aircraft damaged beyond repair,56
pilot limited experience carvair aircraft possibly wanted touch early possible short runway main wheel however struck top embankment foot runway threshold pilot overshoot feather prop immediately engine developing power aircraft circled touched nosegear plane settled left wing swung runway,82
four engine aircraft performing charter flight lagos port harcourt carrying passenger crew four load ammunition approach port harcourt airport initiated night despite fact pilot runway sight failed realize altitude low left wing struck two tree airplane stalled crashed flame onto house located km short runway none occupant survived crash one person ground also killed following accident huge explosion occurred aircraft carrying load ammunition,69
flying low height pilot lost control seaplane crashed sea dozen yard avalon debris found floating water pilot body never found,75
touchandgo landing gatwick airport right main gear didnt lock gear recycled pilot checked gear visually gear appeared fully retracted gear extension next landing right main gear warning light remained gear recycled several time without success attempt high g turn using hand pump touching runway also failed decided make wheelsup landing foam carpet manston,80
taking utapao afb engine number four lost power airplane stalled crashed flame near runway end destroyed post impact fire four crew member killed,25
shortly takeoff camp evans afb climbing altitude meter caribou collided usaf boeingvertol cha chinook registered approaching airbase passenger five crew member board rear rotor chinook struck cockpit caribou following collision chinook caribou dove ground crashed hundred yard runway end occupant killed accident date considered worst aerial collision involving usaf vietnam time accident caribou speed kmh chinook approaching camp evans speed kmh caribou crew cpt wayne philip bundy st lt ralph schiavone ssgt donald gene cleaver ssgt james kenneth connor,13
following uneventful training mission seven hour crew returning minot afb north dakota final approach night crew encountered technical problem engine apparently due low speed airplane stalled four crew member managed bail aircraft crashed open field located eight mile airbase destroyed two crew member rescued four others killed pilot ejected hit falling hatch ejection fatally injured sgt blazina bailed low hit ground chute opened killed lt col poole maj mcguirk sgt cole sgt blazina,76
minute takeoff mary airport cruising altitude meter crew informed atc engine failure cleared return safe landing descending mary crew realize could reach airport attempted belly landing open field aircraft slid several yard came rest injury aircraft written,71
crashed unknown circumstance approaching tapini airstrip supply mission aircraft destroyed four crew member injured,41
crashed unknown circumstance hm tn district south vietnam,42
approaching paso canoas airstrip flight san jos twin engine airplane went control crashed mouth rio grande de terraba km west airfield aircraft destroyed occupant killed,16
shortly night takeoff la vegasmccarran airport initial climb airplane went control crashed flame near runway end aircraft destroyed impact force post crash fire four occupant killed,23
takeoff pragueruzyne airport climbing one engine failed airplane went control crashed open field located km southwest airport three crew member eight passenger killed occupant injured aircraft en route prague koice intermediate stop pietany,21
takeoff tin city right engine malfunctioned pilot lost control airplane crashed runway occupant seriously injured airplane destroyed,24
right engine caught fire upon landing saigon airport pilot escaped uninjured aircraft damaged beyond repair,64
upon landing rio purus canutama seaplane apparently wrong attitude nosed came rest partially submerged four passenger killed occupant rescued,75
final approach clevelandhopkins airport marginal weather condition low ceiling fog twin engine aircraft went control crashed mile short runway aircraft destroyed upon impact seven occupant killed,32
crashed unknown circumstance completing topdressing mission cn tbc,42
aircraft completing liaison flight izmircumaovasi airport struck slope mountain located region akhisar occupant killed,37
cruising altitude foot flight saigon nuebng right engine failed crew unable feather propeller maintain assigned altitude captain decided divert bun thuuedt airport descending airplane went control crashed altitude meter plateau located km airport aircraft destroyed occupant killed among two u civilian crew lt col howard elmer van vliet lt col robert brook richardson lt col council lee royal maj gerald eugene burgener maj basil lincoln ciriello maj gerald dean ziehe cpt gayland omer scott msgt william parker bowman tsgt donald william bruck tsgt billy day morris tsgt john derral thomas ssgt eugene william hendricks,4
leg novosibirsk yakutsk hydraulic pressure engine number dropped captain decided divert krasnoyarsk airport emergency landing approach completed snow fall last segment four engine airplane low struck ground meter short runway threshold crashed burned casualty aircraft destroyed,69
shortly takeoff feij airport climbing pilot informed ground engine failure cleared return emergency landing completing last turn join approach path control lost airplane crashed field located km airport occupant killed,20
crew returning base ching chuan kang near taichung taiwan following refuelling mission south vietnam cruising night marginal weather condition airplane struck slope mountain foot high located km ching chuan kang afb wreckage found foot summit six crew member killed,37
aircraft engaged mission consisting atmospheric research en route unknown circumstance airplane went control crashed lake located region houghton michigan sar operation conducted eventually suspended day later trace aircraft three occupant found,51
final approach hopewell airport pilot encountered poor visibility unable locate runway light failed execute missed approach continued descend airplane struck tree crashed flame wooded area five occupant injured airplane destroyed post crash fire,69
crew completing local training flight berlinschnefeld airport unidentified technical problem occurred flight forced crew attempt emergency landing aircraft crash landed came rest flame three crew member escaped uninjured aircraft damaged beyond repair,57
northeast airline flight departed boston flight lebanon nh montpelier vt fairchild climbed cruising altitude foot crew cleared approach lebanon airport cruise foot report leaving foot controller advised crew radar service terminated flight cleared contact lebanon flight service station fss one minute later fss told crew weather estimated ceiling foot overcast visibility mile break overcast altimeter setting wind calm flight perform published instrument approach procedure executed abbreviated approach making right turn northwesterly heading left turn back intercept inbound radial vor station inbound radial intercepted approximately mile northeast vor station passed altitude foot crew began descent level foot msl minimum altitude inbound vor approach runway airplane contacted tree cloudshrouded side steep rocky heavily wooded mountain foot summit foot msl aircraft cut swath trough tree broke caught fire two crew member passenger killed others injured,10
cruising altitude foot survey flight one engine failed crew able feather propeller decided reduce altitude attempt increase performance remaining engine descending pilotincommand encountered low cloud limited visibility airplane struck tree stalled crashed dense wooded area passenger rescued three crew member killed,75
crew transferring aircraft vietnam approaching klawock airstrip located south alaska airplane crashed unknown circumstance swampy area casualty aircraft written,52
twin engine aircraft departed guaratinguet airport liaison flight two pilot passenger board approaching rio de janeiro southwest crew encountered poor weather condition airplane struck slope morro da prainha mountain located near recreio do bandeirantes airplane exploded impact occupant killed,37
aircraft departed ustkut airport cargo flight mirny carrying load ton cement minute takeoff crew informed landing mirny airport impossible due technical problem captain decided without referring operation divert lensk airport weather condition considered poor time sky overcast cloud meter horizontal visibility meter rain snow flight continued altitude meter crew cleared descent meter start approach lensk final pilotincommand failed realize altitude insufficient airplane struck tall tree meter high flat attitude continued descent crashed meter wooded area wreckage found km short runway threshold aircraft totally destroyed six crew member killed,32
belly landed rio de janeirosantos dumont airport slid dozen meter came rest casualty aircraft written,56
liftoff twin engine aircraft stalled crashed flame runway aircraft destroyed pilot sole board killed engaged local test flight wichitabeechcraft field aircraft delivered french operator flo air,18
descending buenos airesaeroparquejorge newbury airport twin engine airplane went control crashed huge explosion near maquinista savio train station aircraft totally destroyed six occupant killed,16
final approach allentown airport night cargo flight twin engine airplane became unstable went spin crashed short runway aircraft destroyed pilot sole board killed,28
crashed unknown circumstance zambales mountain range killing occupant,47
four engine aircraft returning buenos aire following reconnaissance mission antarctica approach mar del plata airport initiated bad weather condition airplane crashed flame field located six km short runway occupant escaped aircraft destroyed post crash fire,69
crashed unknown circumstance approaching mlaga airport taxi flight bucaramanga passenger survived six occupant killed,39
leg tuxtla gutirrez villahermosa weather condition deteriorated crew elected divert alternate terrain safe landing airplane struck slope mountain shrouded cloud located near tapijulapa six occupant killed,37
following uneventful training flight region santa barbara airport aircraft belly landed slid dozen yard came rest runway four occupant escaped uninjured aircraft damaged beyond repair,56
aircraft leased j ray mcdermott construction company flying regular route lagos various construction site country day accident amphibious floatequipped aircraft took warri airstrip threeminute flight river wheel extended landing flipped came rest inverted initially occupant wereseen trying escape two large container red lead oxide burst open impact hindered escape possibly blinding suffocating pilot two passenger believed occupant survive accident,83
crew engaged short flight chania us wasp cruising offshore shortly takeoff souda bay climbing airplane struck slope mountain located south city wreckage found altitude meter three crew member killed,37
crew performing local training flight lovely bank aerodrome northwest geelong victoria last segment level completed high airplane struck ground right main gear occupant uninjured aircraft later considered damaged beyond repair due serious structure damage right wing,64
shortly takeoff detroitwayne county airport initial climb crew encountered serious difficulty aircraft unstable failed gain sufficient altitude airplane stalled crashed inkster north airfield four occupant seriously injured airplane destroyed,23
final approach runway albany airport crew encountered poor visibility due low ceiling rain fog short final airplane low crashed mohawk river located mile short runway threshold two passenger killed four occupant injured,32
crew departed kadena afb okinawa flight vietnam callsign cream takeoff roll runway l captain decided abort takeoff procedure unknown reason unable stop within remaining distance airplane overran traveled grass embankment hit large ditch came rest kadena ab inner perimeter road sitting top air force police pickup truck wing torn loose releasing fuel wing tank fire started ruptured hydraulic line fuel flowing hot brake electrical malfunction aircraft total loss seven crew member rescued two seriously injured died november november crew cpt william billy dilworth pilot cpt gary b sible navigator alex damellio radar navigator cpt charles david miller ewo austin j decker ii ewo al aroney tail gunner ssgt jerry nixon scott crew chief mechanic,44
pilot four passenger engaged local post maintenance test flight following local circuit pilot initiated approach nederlandjefferson county airport final airplane stalled crashed huge explosion five occupant killed,19
shortly takeoff barrow airport initial climb right engine failed pilot lost control airplane stalled crashed flame passenger seriously injured seven occupant killed,23
en route pilot encountered icing condition engine failed reduced altitude attempt make emergency landing aircraft crash landed bush damaged beyond repair occupant escaped without injury,57
following uneventful flight los angeles crew started descent santa ana airport encountered poor visibility due low cloud fog short final crew failed realize altitude insufficient airplane struck foot steel light pole located along costa mesa freeway control airplane dove ground crashed flame mile short runway r threshold aircraft totally destroyed none nine occupant survived crash,69
en route popayn pasto single engine struck slope mt el calvario located km northeast san lorenzo passenger seriously injured five occupant killed,35
liftoff climbing one engine failed crew elected return initiated turn aircraft impacted tree causing wing torn control aircraft crashed field two passenger seriously injured occupant killed,24
crashed unknown circumstance occupant fate remains unknown,50
final approach paducahbarkley airport crew encountered poor weather condition low ceiling rain fog low twin engine airplane struck tree crashed dozen yard short runway threshold pilot slightly injured aircraft destroyed,66
takeoff roll old san soak airstrip single engine airplane went control veered runway came rest accident occurred mortar fire,71
